# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13053.650  7.180468e-05
13053.660  6.964145e-05
13053.670  6.704389e-05
13053.680  6.449395e-05
13053.690  6.226233e-05
13053.700  6.042641e-05
13053.710  5.895814e-05
13053.720  5.779787e-05
13053.730  5.688769e-05
13053.740  5.618416e-05
13053.750  5.565805e-05
13053.760  5.529382e-05
13053.770  5.508728e-05
13053.780  5.504494e-05
13053.790  5.518439e-05
13053.800  5.553592e-05
13053.810  5.614587e-05
13053.820  5.708186e-05
13053.830  5.844065e-05
13053.840  6.035880e-05
13053.850  6.302461e-05
13053.860  6.668494e-05
13053.870  7.162467e-05
13053.880  7.807381e-05
13053.890  8.596291e-05
13053.900  9.453291e-05
13053.910  1.020532e-04
13053.920  1.062102e-04
13053.930  1.053512e-04
13053.940  9.966244e-05
13053.950  9.102552e-05
13053.960  8.172015e-05
13053.970  7.329996e-05
13053.980  6.636601e-05
13053.990  6.090538e-05
13054.000  5.666372e-05
13054.010  5.335718e-05
13054.020  5.074718e-05
13054.030  4.865294e-05
13054.040  4.694278e-05
13054.050  4.552181e-05
13054.060  4.432154e-05
13054.070  4.329209e-05
13054.080  4.239674e-05
13054.090  4.160809e-05
13054.100  4.090543e-05
13054.110  4.027294e-05
13054.120  3.969837e-05
13054.130  3.917213e-05
13054.140  3.868643e-05
13054.150  3.823562e-05
13054.160  3.781456e-05
13054.170  3.741927e-05
13054.180  3.704648e-05
13054.190  3.669347e-05
13054.200  3.635801e-05
13054.210  3.603817e-05
13054.220  3.573237e-05
13054.230  3.543924e-05
13054.240  3.515762e-05
13054.250  3.488649e-05
13054.260  3.462499e-05
13054.270  3.437237e-05
13054.280  3.412795e-05
13054.290  3.389117e-05
13054.300  3.366151e-05
13054.310  3.343851e-05
13054.320  3.322178e-05
13054.330  3.301094e-05
13054.340  3.280567e-05
13054.350  3.260569e-05
13054.360  3.241072e-05
13054.370  3.222053e-05
13054.380  3.203490e-05
13054.390  3.185363e-05
13054.400  3.167653e-05
13054.410  3.150345e-05
13054.420  3.133422e-05
13054.430  3.116870e-05
13054.440  3.100677e-05
13054.450  3.084829e-05
13054.460  3.069316e-05
13054.470  3.054126e-05
13054.480  3.039251e-05
13054.490  3.024680e-05
13054.500  3.010405e-05
13054.510  2.996417e-05
13054.520  2.982709e-05
13054.530  2.969274e-05
13054.540  2.956105e-05
13054.550  2.943195e-05
