# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13009.160  3.175614e-05
13009.170  3.186370e-05
13009.180  3.199374e-05
13009.190  3.214427e-05
13009.200  3.231357e-05
13009.210  3.250025e-05
13009.220  3.270311e-05
13009.230  3.292117e-05
13009.240  3.315359e-05
13009.250  3.339969e-05
13009.260  3.365890e-05
13009.270  3.392926e-05
13009.280  3.421333e-05
13009.290  3.450933e-05
13009.300  3.481702e-05
13009.310  3.513621e-05
13009.320  3.546677e-05
13009.330  3.580863e-05
13009.340  3.616174e-05
13009.350  3.652611e-05
13009.360  3.690177e-05
13009.370  3.728882e-05
13009.380  3.768734e-05
13009.390  3.809749e-05
13009.400  3.851945e-05
13009.410  3.895341e-05
13009.420  3.939962e-05
13009.430  3.985835e-05
13009.440  4.032991e-05
13009.450  4.081462e-05
13009.460  4.131288e-05
13009.470  4.182508e-05
13009.480  4.235169e-05
13009.490  4.289321e-05
13009.500  4.345019e-05
13009.510  4.402322e-05
13009.520  4.461299e-05
13009.530  4.522021e-05
13009.540  4.584571e-05
13009.550  4.649039e-05
13009.560  4.715524e-05
13009.570  4.784139e-05
13009.580  4.855011e-05
13009.590  4.928283e-05
13009.600  5.004116e-05
13009.610  5.082699e-05
13009.620  5.164245e-05
13009.630  5.249007e-05
13009.640  5.337277e-05
13009.650  5.429420e-05
13009.660  5.525830e-05
13009.670  5.627024e-05
13009.680  5.733626e-05
13009.690  5.846405e-05
13009.700  5.966333e-05
13009.710  6.094652e-05
13009.720  6.232968e-05
13009.730  6.383407e-05
13009.740  6.548829e-05
13009.750  6.733160e-05
13009.760  6.941919e-05
13009.770  7.183048e-05
13009.780  7.468289e-05
13009.790  7.815484e-05
13009.800  8.252459e-05
13009.810  8.823397e-05
13009.820  9.597582e-05
13009.830  1.067658e-04
13009.840  1.217356e-04
13009.850  1.411318e-04
13009.860  1.623172e-04
13009.870  1.788004e-04
13009.880  1.838177e-04
13009.890  1.766490e-04
13009.900  1.635092e-04
13009.910  1.513057e-04
13009.920  1.423190e-04
13009.930  1.349029e-04
13009.940  1.273880e-04
13009.950  1.201222e-04
13009.960  1.143219e-04
13009.970  1.105302e-04
13009.980  1.085031e-04
13009.990  1.077572e-04
13010.000  1.078914e-04
13010.010  1.086403e-04
13010.020  1.098385e-04
13010.030  1.113830e-04
13010.040  1.132083e-04
13010.050  1.152725e-04
13010.060  1.175482e-04
13010.070  1.200182e-04
13010.080  1.226720e-04
13010.090  1.255039e-04
13010.100  1.285118e-04
13010.110  1.316967e-04
13010.120  1.350619e-04
13010.130  1.386128e-04
13010.140  1.423563e-04
13010.150  1.463015e-04
13010.160  1.504595e-04
13010.170  1.548433e-04
13010.180  1.594683e-04
13010.190  1.643530e-04
13010.200  1.695197e-04
13010.210  1.749960e-04
13010.220  1.808173e-04
13010.230  1.870309e-04
13010.240  1.937039e-04
13010.250  2.009365e-04
13010.260  2.088852e-04
13010.270  2.177863e-04
13010.280  2.279243e-04
13010.290  2.393942e-04
13010.300  2.516098e-04
13010.310  2.631583e-04
13010.320  2.728502e-04
13010.330  2.810606e-04
13010.340  2.893971e-04
13010.350  2.992253e-04
13010.360  3.110626e-04
13010.370  3.249824e-04
13010.380  3.410883e-04
13010.390  3.597306e-04
13010.400  3.815760e-04
13010.410  4.075007e-04
13010.420  4.379460e-04
13010.430  4.715062e-04
13010.440  5.041307e-04
13010.450  5.316236e-04
13010.460  5.541860e-04
13010.470  5.770459e-04
13010.480  6.063174e-04
13010.490  6.455686e-04
13010.500  6.947177e-04
13010.510  7.491353e-04
13010.520  8.009873e-04
13010.530  8.458164e-04
13010.540  8.878196e-04
13010.550  9.359837e-04
13010.560  9.969675e-04
13010.570  1.073040e-03
13010.580  1.163609e-03
13010.590  1.266691e-03
13010.600  1.381917e-03
13010.610  1.512607e-03
13010.620  1.665228e-03
13010.630  1.847063e-03
13010.640  2.065503e-03
13010.650  2.329256e-03
13010.660  2.649994e-03
13010.670  3.043998e-03
13010.680  3.534291e-03
13010.690  4.153936e-03
